country,region,continent,bri_country,bri_member_income_group,total_cases,total_deaths,total_recovered,total_tests,active_cases,serious_critical,cases_over_1_m,deaths_over_1_m,tests_over_1_m,life_expectancy_index_2019,happiness_index_2019,corruption_perception_index_2019,democracy_index_2019,economic_freedom_index_2019,press_freedom_index_2019
Antigua and Barbuda,Caribbean,Latin America and Caribbean,bri_member,High income,23.0,2.0,3.0,73.0,18.0,1.0,235.0,20.0,745.0,77.47,,,,,
Chad,Middle Africa,Africa,bri_member,Low income,23.0,0.0,2.0,unknown,21.0,1.0,1.0,0.0,unknown,55.17,43.5,20.0,16.1,49.9,63.29
Equatorial Guinea,Middle Africa,Africa,bri_member,Upper middle income,21.0,0.0,4.0,854.0,17.0,1.0,15.0,0.0,609.0,59.82,,,19.2,41.0,41.65
Mozambique,Eastern Africa,Africa,bri_member,Low income,21.0,0.0,2.0,683.0,19.0,1.0,0.7,0.0,22.0,62.13,44.660000000000004,26.0,36.5,48.6,67.34
Maldives,Southern Asia,Asia,bri_member,Upper middle income,20.0,0.0,14.0,unknown,6.0,1.0,37.0,0.0,unknown,79.89,,29.0,,53.2,67.84
Angola,Middle Africa,Africa,bri_member,Lower middle income,19.0,2.0,4.0,unknown,13.0,1.0,0.6,0.06,unknown,62.22,,26.0,37.2,50.6,65.03999999999999
Laos,South-Eastern Asia,Asia,bri_member,Lower middle income,19.0,0.0,1.0,1235.0,18.0,1.0,3.0,0.0,170.0,68.89,47.96,29.0,21.4,57.4,35.51000000000001
Belize,Central America,Latin America and Caribbean,non_member,,18.0,2.0,0.0,567.0,16.0,1.0,45.0,5.0,1426.0,75.09,,,,55.4,72.5
New Caledonia,Melanesia,Oceania,non_member,,18.0,0.0,1.0,2608.0,17.0,1.0,63.0,0.0,9135.0,78.16,,,,,
Zimbabwe,Eastern Africa,Africa,bri_member,Low income,17.0,3.0,0.0,604.0,14.0,1.0,1.0,0.2,41.0,62.16,36.63,24.0,31.6,40.4,57.77
Malawi,Eastern Africa,Africa,non_member,,16.0,2.0,0.0,314.0,14.0,1.0,0.8,0.1,16.0,65.62,34.1,31.0,55.0,51.4,70.64
Nepal,Southern Asia,Asia,bri_member,Low income,16.0,0.0,1.0,6299.0,15.0,1.0,0.5,0.0,216.0,71.74,49.13,34.0,52.8,53.8,66.6
Dominica,Caribbean,Latin America and Caribbean,bri_member,Upper middle income,16.0,0.0,8.0,345.0,8.0,1.0,222.0,0.0,4793.0,,,55.0,,63.6,
Fiji,Melanesia,Oceania,bri_member,Upper middle income,16.0,0.0,0.0,unknown,16.0,1.0,18.0,0.0,unknown,67.91,,,58.5,62.2,72.82
Namibia,Southern Africa,Africa,bri_member,Upper middle income,16.0,0.0,3.0,362.0,13.0,1.0,6.0,0.0,142.0,64.86,46.38999999999999,52.0,64.3,58.7,81.05
Saint Lucia,Caribbean,Latin America and Caribbean,non_member,,15.0,0.0,4.0,unknown,11.0,1.0,82.0,0.0,unknown,76.67,,55.0,,68.7,
Eswatini,Southern Africa,Africa,non_member,,15.0,0.0,8.0,714.0,7.0,1.0,13.0,0.0,615.0,61.05,42.12,,31.4,54.7,
Curaçao,Caribbean,Latin America and Caribbean,non_member,,14.0,1.0,10.0,230.0,3.0,1.0,85.0,6.0,1402.0,79.41,,,,,
Grenada,Caribbean,Latin America and Caribbean,bri_member,Upper middle income,14.0,0.0,0.0,92.0,14.0,2.0,124.0,0.0,818.0,72.59,,53.0,,,
Botswana,Southern Africa,Africa,non_member,,13.0,1.0,0.0,3115.0,12.0,2.0,6.0,0.4,1325.0,69.86,34.88,61.0,78.1,69.5,74.91
Saint Vincent Grenadines,Caribbean,Latin America and Caribbean,non_member,,12.0,0.0,1.0,87.0,11.0,2.0,108.0,0.0,784.0,72.98,,59.0,,65.8,
Central African Republic,Middle Africa,Africa,non_member,,11.0,0.0,4.0,unknown,7.0,2.0,2.0,0.0,unknown,54.36,30.830000000000002,25.0,13.2,49.1,52.73
Seychelles,Eastern Africa,Africa,bri_member,High income,11.0,0.0,0.0,unknown,11.0,1.0,112.0,0.0,unknown,73.74,,,,61.4,70.59
Sierra Leone,Western Africa,Africa,bri_member,Low income,11.0,0.0,0.0,unknown,11.0,1.0,1.0,0.0,unknown,55.92,43.739999999999995,33.0,48.6,47.5,69.64
Cabo Verde,Western Africa,Africa,bri_member,Lower middle income,10.0,1.0,1.0,unknown,8.0,1.0,18.0,2.0,unknown,73.58,,,,63.1,
Suriname,South America,Latin America and Caribbean,bri_member,Upper middle income,10.0,1.0,6.0,unknown,3.0,1.0,17.0,2.0,unknown,72.13,,44.0,69.80000000000001,48.1,83.62
Gambia,Western Africa,Africa,bri_member,Low income,9.0,1.0,2.0,281.0,6.0,1.0,4.0,0.4,116.0,63.26,45.16,37.0,43.3,,68.65
Nicaragua,Central America,Latin America and Caribbean,non_member,,9.0,1.0,4.0,unknown,4.0,1.0,1.0,0.2,unknown,75.23,61.050000000000004,22.0,35.5,57.7,64.47
Mauritania,Western Africa,Africa,bri_member,Lower middle income,7.0,1.0,2.0,527.0,4.0,1.0,2.0,0.2,113.0,65.57,44.900000000000006,28.0,39.2,55.7,68.35
Timor-Leste,South-Eastern Asia,Asia,bri_member,Lower middle income,6.0,0.0,1.0,unknown,5.0,1.0,5.0,0.0,unknown,70.18,,38.0,71.9,44.2,70.07
Western Sahara,Northern Africa,Africa,non_member,,6.0,0.0,0.0,unknown,6.0,1.0,10.0,0.0,unknown,71.08,,,,,
Burundi,Eastern Africa,Africa,bri_member,Low income,5.0,1.0,0.0,unknown,4.0,1.0,0.4,0.08,unknown,62.71,37.75,19.0,21.5,48.9,47.11
Bhutan,Southern Asia,Asia,non_member,,5.0,0.0,2.0,1166.0,3.0,1.0,6.0,0.0,1511.0,72.77,50.82,68.0,53.0,62.9,70.19
Sao Tome and Principe,Middle Africa,Africa,non_member,,4.0,0.0,0.0,19.0,4.0,1.0,18.0,0.0,87.0,71.01,,46.0,,54.0,
South Sudan,Eastern Africa,Africa,bri_member,Low income,4.0,0.0,0.0,unknown,4.0,1.0,0.4,0.0,unknown,58.74,28.53,12.0,,,54.35
Papua New Guinea,Melanesia,Oceania,bri_member,Lower middle income,2.0,0.0,0.0,72.0,2.0,1.0,0.2,0.0,8.0,65.22,,28.0,60.3,58.4,75.3
Yemen,Western Asian,Asia,bri_member,Low income,1.0,0.0,0.0,unknown,1.0,1.0,0.03,0.0,unknown,66.44,33.8,15.0,19.5,,38.34
